Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Yellow,Red,SubOn,SubOff,Shots,SOT,HitPost ,HeadClear,HeadGoal,PKScored,FKGoal,Offsides,ThrBall,Misses,Corners,Crosses,Blocks,Interceptions,Fouls,Last man ,Tackles,ELG,OwnGoal,Clears,ABW,ABL
Nicolás Otamendi,2015-2016,1988,27,Manchester City,Argentina,22200000,28500000,DF,30,2672,1,1569,0,9,0,0,1,27,8,0,123,1,0,0,0,0,0,0,1,13,104,31,0,90,0,0,209,90,49
Nicolás Otamendi,2016-2017,1988,28,Manchester City,Argentina,28500000,27000000,DF,30,2592,1,1945,1,9,0,1,1,15,3,0,140,1,0,0,1,5,0,0,3,15,84,30,0,69,0,0,190,117,67
Nicolás Otamendi,2018-2019,1988,30,Manchester City,Argentina,31500000,22500000,DF,18,1234,0,1245,0,0,0,4,1,15,3,0,23,0,0,0,0,0,12,0,1,4,29,8,0,24,1,0,55,41,25
Nicolás Otamendi,2017-2018,1988,29,Manchester City,Argentina,27000000,31500000,DF,34,2968,4,3074,0,9,0,1,2,32,10,2,76,2,0,0,0,3,22,0,2,10,48,28,0,58,3,1,122,79,68
Pablo Zabaleta,2016-2017,1985,31,Manchester City,Argentina,9000000,6300000,DF,20,1059,1,573,1,2,0,9,3,7,2,0,29,0,0,0,5,0,0,0,15,0,24,14,0,41,0,0,42,24,16
Pablo Zabaleta,2015-2016,1985,30,Manchester City,Argentina,16200000,9000000,DF,13,1062,0,575,0,3,0,0,0,3,1,0,22,0,0,0,2,0,0,0,19,2,25,15,0,43,0,0,35,18,14
Pablo Zabaleta,2017-2018,1985,32,West Ham United,Argentina,6300000,4500000,DF,37,3291,0,1153,1,9,0,0,2,1,1,0,79,0,0,0,0,1,0,0,71,13,61,33,0,96,0,1,124,58,57
Pablo Zabaleta,2018-2019,1985,33,West Ham United,Argentina,4500000,3150000,DF,26,2091,0,860,1,4,0,3,3,7,0,0,51,0,0,0,0,0,7,0,48,15,48,17,0,47,0,0,86,47,53
Pape Souaré,2015-2016,1990,25,Crystal Palace,Senegal,4500000,5850000,DF,34,3014,0,1165,1,6,0,0,1,11,1,0,40,0,0,0,0,0,0,0,137,16,84,25,0,32,0,0,122,26,24
Papy Djilobodji,2016-2017,1988,27,Sunderland,Senegal,4950000,5500000,DF,18,1577,0,694,0,4,1,1,0,8,2,1,83,0,0,0,2,0,0,0,5,23,54,23,0,24,1,0,163,56,36
Patrick van Aanholt,2017-2018,1990,26,Crystal Palace,Netherlands,8100000,8100000,DF,28,2185,5,882,1,7,0,3,4,33,11,0,24,0,0,0,3,3,22,11,56,5,47,18,0,47,0,0,56,6,5
Patrick van Aanholt,2015-2016,1990,24,Sunderland,Netherlands,3150000,5400000,DF,33,2970,4,1067,3,2,0,0,0,46,9,2,33,0,0,1,4,0,3,3,56,10,63,16,2,85,1,0,102,14,16
Patrick van Aanholt,2018-2019,1990,27,Crystal Palace,Netherlands,8100000,9000000,DF,36,3197,3,1610,2,3,0,0,3,45,11,0,30,0,0,0,10,5,34,2,42,9,40,12,0,48,0,0,80,10,12
Patrick van Aanholt,2016-2017,1990,25,Sunderland,Netherlands,5400000,8100000,DF,32,2498,5,1001,1,3,0,4,4,34,13,0,34,0,0,0,6,2,0,15,78,9,58,15,0,43,0,0,65,10,17
