Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Yellow,Red,SubOn,SubOff,Shots,SOT,HitPost ,HeadClear,HeadGoal,PKScored,FKGoal,Offsides,ThrBall,Misses,Corners,Crosses,Blocks,Interceptions,Fouls,Last man ,Tackles,ELG,OwnGoal,Clears,ABW,ABL
Joel Matip,2017-2018,1991,26,Liverpool,Cameroon,22500000,22500000,DF,25,1995,1,1655,0,3,0,3,0,11,2,1,58,0,0,0,0,1,9,0,0,15,35,19,0,35,1,0,96,57,21
Joel Matip,2018-2019,1991,27,Liverpool,Cameroon,22500000,27000000,DF,22,1535,1,1341,0,3,0,5,0,8,2,0,44,1,0,0,0,4,6,0,0,7,31,11,0,39,0,0,76,66,28
Joel Matip,2016-2017,1991,25,Liverpool,Cameroon,16200000,22500000,DF,29,2456,0,1699,0,3,0,2,0,26,4,3,81,1,0,0,0,1,0,0,5,12,47,14,0,47,1,0,153,63,40
Joel Ward,2016-2017,1989,26,Crystal Palace,England,4500000,4500000,DF,38,3418,0,1300,1,7,0,0,0,14,2,0,76,0,0,0,0,1,1,0,78,11,59,37,0,89,0,0,133,62,43
Joel Ward,2015-2016,1989,25,Crystal Palace,England,3600000,4500000,DF,30,2692,2,1001,0,4,0,0,1,17,0,0,59,0,0,0,0,0,0,0,56,14,69,36,0,62,0,0,109,55,41
Joel Ward,2017-2018,1989,28,Crystal Palace,England,4500000,4500000,DF,19,1616,0,681,1,4,0,0,3,1,1,0,40,0,0,0,0,0,0,0,46,11,28,25,1,35,0,1,61,0,25
John O'Shea,2015-2016,1981,34,Sunderland,Ireland,900000,900000,DF,28,2008,0,590,0,2,0,5,3,7,3,0,101,0,0,0,0,0,0,0,0,11,39,19,0,32,0,0,183,51,17
John O'Shea,2016-2017,1981,35,Sunderland,Ireland,900000,900000,DF,28,2160,0,686,1,5,0,2,5,3,2,0,95,0,0,0,0,0,0,0,0,17,39,17,0,29,0,0,150,58,47
John Stones,2018-2019,1994,24,Manchester City,England,45000000,54000000,DF,24,1763,0,1751,0,0,0,4,2,5,0,0,41,0,0,0,1,0,5,0,2,9,14,6,0,16,0,0,60,59,30
John Stones,2016-2017,1994,22,Manchester City,England,25200000,31500000,DF,27,2013,0,1464,0,1,0,4,3,13,2,0,63,0,0,0,0,0,3,0,0,14,39,8,0,26,3,0,115,49,27
John Stones,2015-2016,1994,21,Everton,England,11700000,25200000,DF,33,2779,0,1566,0,3,0,2,2,8,1,0,80,0,0,0,0,1,0,0,4,34,56,11,0,46,3,0,127,53,30
John Stones,2017-2018,1994,23,Manchester City,England,31500000,45000000,DF,18,1306,0,1246,0,0,0,2,5,11,4,1,21,0,0,0,0,0,7,0,1,5,19,6,0,15,0,0,41,0,11
John Terry,2015-2016,1980,34,Chelsea,England,3600000,2250000,DF,22,1989,1,924,0,2,2,0,3,10,2,0,50,0,0,0,2,1,0,0,0,19,38,10,0,21,0,0,88,49,22
Joleon Lescott,2015-2016,1982,32,Aston Villa,England,3600000,1350000,DF,31,2810,1,1061,0,2,0,0,2,11,3,1,109,0,0,0,0,0,2,0,4,21,85,16,0,35,1,0,186,71,34
Jon Gorenc Stankovic,2018-2019,1996,22,Huddersfield Town,Slovenia,450000,1350000,DF,11,719,0,294,0,2,0,2,5,9,2,0,10,0,0,0,0,0,7,0,0,9,9,9,0,26,0,0,19,22,16
Jonas Olsson,2015-2016,1983,32,West Bromwich Albion,Sweden,1350000,1350000,DF,28,2016,1,576,1,5,0,3,6,6,2,1,69,1,0,0,2,0,1,0,0,32,45,22,0,16,1,0,127,48,21
Jonjoe Kenny,2018-2019,1997,21,Everton,England,4500000,4500000,DF,10,790,0,427,1,1,0,2,1,3,0,1,14,0,0,0,0,0,3,0,17,2,17,10,0,22,0,0,30,23,11
Jonjoe Kenny,2017-2018,1997,20,Everton,England,225000,4500000,DF,19,1589,0,587,1,2,0,2,0,1,1,0,41,0,0,0,0,0,0,0,46,7,28,17,0,41,0,0,73,38,31
Jonny,2018-2019,1994,24,Wolves,Spain,10800000,18000000,DF,33,2777,1,1075,1,6,0,1,10,25,8,1,23,0,0,0,5,1,17,0,46,8,60,23,0,79,1,0,53,39,51
Jonny Evans,2018-2019,1988,30,Leicester City,Northern Ireland,13500000,9000000,DF,24,1994,1,1029,0,2,0,3,2,11,3,0,79,0,0,0,0,0,8,0,1,10,33,21,0,24,0,0,146,72,38
Jonny Evans,2015-2016,1988,27,West Bromwich Albion,Northern Ireland,5400000,5400000,DF,30,2593,1,984,1,4,0,0,3,7,1,0,60,0,0,0,0,1,0,0,22,28,92,23,0,74,0,0,104,54,30
Jonny Evans,2017-2018,1988,29,West Bromwich Albion,Northern Ireland,6300000,13500000,DF,28,2273,2,961,2,7,0,2,4,10,5,0,67,2,0,0,0,0,5,0,4,13,48,26,0,29,0,1,126,54,34
