Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Shots,SOT,Tackles,ABW 
Mohamed Salah,2018-2019,1992,26,Liverpool,Egypt,135000000,165000000,FW,36,2921,32,946,10,144,67,12,0.270833333
Nikica Jelavic,2015-2016,1985,30,West Ham United,Croatia,4600000,3600000,FW,13,339,1,74,0,11,1,3,0.322580645
Victor Anichebe,2016-2017,1988,28,Sunderland,Nigeria,1800000,1350000,FW,10,365,0,108,0,13,4,2,0.595744681
Victor Moses,2015-2016,1990,24,West Ham United,Nigeria,6300000,6300000,FW,21,981,1,280,2,22,4,13,0.333333333
Victor Moses,2016-2017,1990,25,Chelsea,Nigeria,6300000,16200000,FW,21,981,1,280,2,22,4,13,0.333333333
Olivier Giroud,2017-2018,1986,31,Chelsea,France,24200000,23200000,FW,29,984,7,375,1,48,15,9,0.610619469
Olivier Giroud,2018-2019,1986,31,Chelsea,France,16200000,13500000,FW,29,984,7,375,1,48,15,9,0.610619469
Olivier Giroud,2015-2016,1986,28,Arsenal,France,26200000,27500000,FW,29,984,7,375,1,48,15,9,0.610619469
Olivier Giroud,2016-2017,1986,29,Arsenal,France,22500000,19800000,FW,29,984,7,375,1,48,15,9,0.610619469
Mohamed Elyounoussi,2018-2019,1994,23,Southampton,Norway,13500000,13500000,FW,16,790,0,222,0,20,6,16,0.375
Hélder Costa,2018-2019,1994,24,Wolves,Portugal,11000000,16500000,FW,25,1345,0,442,2,25,7,18,0.222222222
Philippe Coutinho,2015-2016,1992,23,Liverpool,Brazil,22000000,31500000,FW,26,2003,8,1092,5,111,30,35,0.178571429
Philippe Coutinho,2016-2017,1992,24,Liverpool,Brazil,31500000,40500000,FW,26,2003,8,1092,5,111,30,35,0.178571429
Ivan Cavaleiro,2018-2019,1993,24,Wolves,Portugal,11000000,11000000,FW,23,683,3,294,1,13,4,5,0.28125
Florin Andone,2018-2019,1993,25,Brighton and Hove Albion,Romania,6600000,6600000,FW,23,873,3,165,0,19,8,10,0.336363636
Pedro,2015-2016,1987,28,Chelsea,Spain,15000000,20700000,FW,29,2040,7,971,2,57,16,37,0.307692308
Pedro,2016-2017,1987,29,Chelsea,Spain,20700000,25200000,FW,29,2040,7,971,2,57,16,37,0.307692308
Richarlison,2017-2018,1997,20,Watford,Brazil,2200000,22500000,FW,38,2827,5,804,4,95,22,64,0.425531915
Richarlison,2018-2019,1997,21,Everton,Brazil,22500000,45000000,FW,38,2827,5,804,4,95,22,64,0.425531915
Riyad Mahrez,2015-2016,1991,24,Leicester City,Algeria,7700000,18000000,FW,37,3052,17,1034,11,86,39,53,0.35
Riyad Mahrez,2016-2017,1991,25,Leicester City,Algeria,18000000,27000000,FW,37,3052,17,1034,11,86,39,53,0.35
Riyad Mahrez,2017-2018,1991,26,Leicester City,Algeria,27000000,45000000,FW,37,3052,17,1034,11,86,39,53,0.35
Pedro,2017-2018,1987,30,Chelsea,Spain,25200000,22500000,FW,29,2040,7,971,2,57,16,37,0.307692308
Pedro,2018-2019,1987,31,Chelsea,Spain,22500000,18000000,FW,29,2040,7,971,2,57,16,37,0.307692308
Raheem Sterling,2015-2016,1994,20,Manchester City,England,34000000,40500000,FW,31,1925,6,846,2,52,22,34,0.266666667
Roberto Firmino,2015-2016,1991,23,Liverpool,Brazil,27500000,31500000,FW,22,1981,10,998,7,63,25,67,0.126760563
Roberto Firmino,2016-2017,1991,24,Liverpool,Brazil,31500000,34500000,FW,22,1981,10,998,7,63,25,67,0.126760563
Roberto Firmino,2017-2018,1991,25,Liverpool,Brazil,34500000,72000000,FW,22,1981,10,998,7,63,25,67,0.126760563
Roberto Firmino,2018-2019,1991,26,Liverpool,Brazil,72000000,72000000,FW,22,1981,10,998,7,63,25,67,0.126760563
Raheem Sterling,2016-2017,1994,21,Manchester City,England,40500000,40500000,FW,31,1925,6,846,2,52,22,34,0.266666667
Raheem Sterling,2017-2018,1994,23,Manchester City,England,40500000,81000000,FW,31,1925,6,846,2,52,22,34,0.266666667
Romelu Lukaku,2015-2016,1993,22,Everton,Belgium,30800000,36000000,FW,37,3174,18,1098,6,118,48,13,0.392405063
Harry Kane,2017-2018,1993,24,Tottenham,England,54000000,108000000,FW,38,3368,25,962,1,158,75,29,0.348623853
Romelu Lukaku,2016-2017,1993,23,Everton,Belgium,36000000,45000000,FW,37,3174,18,1098,6,118,48,13,0.392405063
Romelu Lukaku,2017-2018,1993,24,Manchester United,Belgium,45000000,81000000,FW,37,3174,18,1098,6,118,48,13,0.392405063
Romelu Lukaku,2018-2019,1993,25,Manchester United,Belgium,81000000,67500000,FW,37,3174,18,1098,6,118,48,13,0.392405063
Rudy Gestede,2015-2016,1988,26,Aston Villa,Benin,6300000,6300000,FW,18,1657,5,597,0,61,18,11,0.585915493
Rudy Gestede,2016-2017,1988,27,Middlesbrough,Benin,6300000,6300000,FW,18,1657,5,597,0,61,18,11,0.585915493
Radamel Falcao,2015-2016,1986,29,Chelsea,Colombia,31500000,13500000,FW,10,228,1,84,0,11,0,2,0.416666667
Harry Kane,2018-2019,1993,25,Tottenham,England,108000000,135000000,FW,38,3368,25,962,1,158,75,29,0.348623853
Vincent Janssen,2016-2017,1994,22,Tottenham,Netherlands,11700000,11700000,FW,27,832,2,225,2,30,14,15,0.176470588
Raheem Sterling,2018-2019,1994,23,Manchester City,England,81000000,126000000,FW,31,1925,6,846,2,52,22,34,0.266666667
Oliver McBurnie,2017-2018,1996,21,Swansea City,Scotland,225000,3600000,FW,5,77,0,33,0,2,1,1,0.230769231
Rickie Lambert,2015-2016,1982,33,West Bromwich Albion,England,3300000,2250000,FW,19,617,1,272,1,14,4,0,0.350877193
Steven Fletcher,2015-2016,1987,28,Sunderland,Scotland,5000000,2700000,FW,16,1016,4,290,0,25,10,11,0.412903226
Steven Naismith,2015-2016,1986,28,Norwich City,Scotland,4400000,5400000,FW,15,1330,4,501,1,25,9,23,0.287671233
M'Baye Niang,2016-2017,1994,21,Watford,Senegal,13500000,16500000,FW,16,1254,2,405,2,32,13,11,0.234375
Mame Biram Diouf,2015-2016,1987,27,Stoke City,Senegal,10000000,7200000,FW,26,1269,5,264,0,31,16,18,0.390804598
Mame Biram Diouf,2016-2017,1987,28,Stoke City,Senegal,7200000,6300000,FW,26,1269,5,264,0,31,16,18,0.390804598
Saido Berahino,2016-2017,1993,22,Stoke City,Burundi,13500000,13500000,FW,1,35,0,19,1,0,0,0,1
Saido Berahino,2017-2018,1993,23,Stoke City,Burundi,13500000,7200000,FW,1,35,0,19,1,0,0,0,1
Mame Biram Diouf,2017-2018,1987,30,Stoke City,Senegal,6300000,6300000,FW,26,1269,5,264,0,31,16,18,0.390804598
Oumar Niasse,2016-2017,1990,26,Hull City,Senegal,10800000,8100000,FW,5,142,0,43,0,2,1,4,0.181818182
Sergio Agüero,2015-2016,1988,27,Manchester City,Argentina,50000000,54000000,FW,30,2373,24,727,2,119,52,15,0.310344828
Sergio Agüero,2016-2017,1988,28,Manchester City,Argentina,54000000,58500000,FW,30,2373,24,727,2,119,52,15,0.310344828
Sergio Agüero,2017-2018,1988,29,Manchester City,Argentina,58500000,72000000,FW,30,2373,24,727,2,119,52,15,0.310344828
Sergio Agüero,2018-2019,1988,30,Manchester City,Argentina,72000000,58500000,FW,30,2373,24,727,2,119,52,15,0.310344828
